ORDERID;NATURE;OPERATIONTYPE;AMOUNT;CURRENCY;"BILLINGFEES INCL. VAT";DATE;CHARGEBACKDATE;"TRANSFER REFERENCE";EXTRADATA;3DSECUREFEE
1676600~1;payment;payment;125.53;EUR;0.59;"2023-02-10 10:03:10";;20230213.150.20134253043109506;;0.00260
1676604~1;payment;payment;115.27;EUR;0.54;"2023-02-10 10:10:38";;20230213.150.20134253043109506;;0.00260
1676603~1;payment;payment;59.50;EUR;0.28;"2023-02-10 10:11:24";;20230213.150.20134253043109506;;0.00260
1676605~1;payment;payment;23.20;EUR;0.11;"2023-02-10 10:13:43";;20230213.150.20134253043109506;;0.00260
1676602~1;payment;payment;27.00;EUR;0.13;"2023-02-10 10:14:37";;20230213.150.20134253043109506;;0.00260
1676515~1;payment;payment;57.30;EUR;0.26;"2023-02-10 10:15:27";;20230213.150.20134253043109506;;0.00260
1676606~1;payment;payment;80.79;EUR;0.38;"2023-02-10 10:16:09";;20230213.150.20134253043109506;;0.00260
1676608~1;payment;payment;39.68;EUR;0.18;"2023-02-10 10:18:22";;20230213.150.20134253043109506;;0.00260
1676610~1;payment;payment;125.58;EUR;0.59;"2023-02-10 10:21:45";;20230213.150.20134253043109506;;0.00260
1676613~1;payment;payment;597.82;EUR;2.80;"2023-02-10 10:31:20";;20230213.150.20134253043109506;;0.00260
1674289~1;payment;payment;38.19;EUR;0.18;"2023-02-10 10:36:03";;20230213.150.20134253043109506;;0.00260
1676615~1;payment;payment;103.00;EUR;0.48;"2023-02-10 10:38:30";;20230213.150.20134253043109506;;0.00260
1676616~1;payment;payment;215.48;EUR;1.01;"2023-02-10 10:42:56";;20230213.150.20134253043109506;;0.00260
1676617~1;payment;payment;38.49;EUR;0.18;"2023-02-10 10:48:22";;20230213.150.20134253043109506;;0.00260
1676618~1;payment;payment;243.98;EUR;1.14;"2023-02-10 10:49:16";;20230213.150.20134253043109506;;0.00260
1676621~1;payment;payment;30.00;EUR;0.14;"2023-02-10 10:50:50";;20230213.150.20134253043109506;;0.00260
1676622~1;payment;payment;100.99;EUR;0.47;"2023-02-10 10:52:16";;20230213.150.20134253043109506;;0.00260
1676620~1;payment;payment;186.95;EUR;0.88;"2023-02-10 11:01:18";;20230213.150.20134253043109506;;0.00260
1676626~1;payment;payment;208.19;EUR;0.97;"2023-02-10 11:10:33";;20230213.150.20134253043109506;;0.00260
1676627~1;payment;payment;115.77;EUR;1.00;"2023-02-10 11:11:39";;20230213.150.20134253043109506;;0.04000
1676625~1;payment;payment;44.19;EUR;0.20;"2023-02-10 11:12:37";;20230213.150.20134253043109506;;0.00260
1676629~1;payment;payment;51.60;EUR;0.24;"2023-02-10 11:15:20";;20230213.150.20134253043109506;;0.00260
1676630~1;payment;payment;52.20;EUR;0.24;"2023-02-10 11:18:52";;20230213.150.20134253043109506;;0.00260
1676633~1;payment;payment;49.47;EUR;0.23;"2023-02-10 11:27:20";;20230213.150.20134253043109506;;0.00260
1676634~1;payment;payment;24.50;EUR;0.24;"2023-02-10 11:28:21";;20230213.150.20134253043109506;;0.02000
1676635~1;payment;payment;29.78;EUR;0.29;"2023-02-10 11:29:39";;20230213.150.20134253043109506;;0.04000
1676636~1;payment;payment;63.96;EUR;0.30;"2023-02-10 11:32:22";;20230213.150.20134253043109506;;0.00260
1676638~1;payment;payment;31.48;EUR;0.14;"2023-02-10 11:37:55";;20230213.150.20134253043109506;;0.00260
1676639~1;payment;payment;125.99;EUR;0.59;"2023-02-10 11:39:13";;20230213.150.20134253043109506;;0.00260
1676641~1;payment;payment;46.20;EUR;0.22;"2023-02-10 11:42:25";;20230213.150.20134253043109506;;0.00260
1676643~1;payment;payment;115.29;EUR;0.54;"2023-02-10 11:43:25";;20230213.150.20134253043109506;;0.00260
1676644~1;payment;payment;110.73;EUR;0.52;"2023-02-10 11:44:10";;20230213.150.20134253043109506;;0.00260
1676647~1;payment;payment;44.30;EUR;0.20;"2023-02-10 11:49:31";;20230213.150.20134253043109506;;0.00260
1676648~1;payment;payment;97.30;EUR;0.46;"2023-02-10 11:50:31";;20230213.150.20134253043109506;;0.00260
1676650~1;payment;payment;87.49;EUR;0.41;"2023-02-10 11:54:31";;20230213.150.20134253043109506;;0.00260
1676651~1;payment;payment;43.29;EUR;0.20;"2023-02-10 11:56:19";;20230213.150.20134253043109506;;0.00260
1676652~1;payment;payment;84.49;EUR;0.73;"2023-02-10 11:59:09";;20230213.150.20134253043109506;;0.04000
1676653~1;payment;payment;102.00;EUR;0.48;"2023-02-10 11:59:18";;20230213.150.20134253043109506;;0.00260
1676655~1;payment;payment;17.00;EUR;0.08;"2023-02-10 12:02:09";;20230213.150.20134253043109506;;0.00260
1676656~1;payment;payment;47.19;EUR;0.22;"2023-02-10 12:02:21";;20230213.150.20134253043109506;;0.00260
1676657~1;payment;payment;39.00;EUR;0.18;"2023-02-10 12:04:41";;20230213.150.20134253043109506;;0.00260
1676661~1;payment;payment;13.00;EUR;0.06;"2023-02-10 12:10:14";;20230213.150.20134253043109506;;0.00260
1676663~1;payment;payment;42.18;EUR;0.38;"2023-02-10 12:15:23";;20230213.150.20134253043109506;;0.04000
1676666~1;payment;payment;65.49;EUR;0.31;"2023-02-10 12:23:34";;20230213.150.20134253043109506;;0.00260
1676667~1;payment;payment;69.00;EUR;0.32;"2023-02-10 12:29:50";;20230213.150.20134253043109506;;0.00260
1676669~1;payment;payment;139.33;EUR;0.65;"2023-02-10 12:33:36";;20230213.150.20134253043109506;;0.00260
1676670~1;payment;payment;134.19;EUR;0.62;"2023-02-10 12:44:08";;20230213.150.20134253043109506;;0.00260
1676677~1;payment;payment;143.61;EUR;0.67;"2023-02-10 12:58:43";;20230213.150.20134253043109506;;0.00260
1676681~1;payment;payment;38.49;EUR;0.18;"2023-02-10 13:03:39";;20230213.150.20134253043109506;;0.00260
1676683~1;payment;payment;239.29;EUR;1.12;"2023-02-10 13:10:51";;20230213.150.20134253043109506;;0.00260
1676685~1;payment;payment;25.50;EUR;0.12;"2023-02-10 13:13:26";;20230213.150.20134253043109506;;0.00260
1676687~1;payment;payment;106.67;EUR;0.50;"2023-02-10 13:18:15";;20230213.150.20134253043109506;;0.00260
1676688~1;payment;payment;24.50;EUR;0.12;"2023-02-10 13:25:09";;20230213.150.20134253043109506;;0.00260
1676690~1;payment;payment;59.20;EUR;0.28;"2023-02-10 13:28:00";;20230213.150.20134253043109506;;0.00260
1676689~1;payment;payment;66.00;EUR;0.31;"2023-02-10 13:28:49";;20230213.150.20134253043109506;;0.00260
1676692~1;payment;payment;14.40;EUR;0.00;"2023-02-10 13:31:49";;;;0.04000
1676693~1;payment;payment;117.27;EUR;1.01;"2023-02-10 13:32:02";;20230213.150.20134253043109506;;0.02000
1676694~1;payment;payment;63.00;EUR;0.30;"2023-02-10 13:34:05";;20230213.150.20134253043109506;;0.00260
1676695~1;payment;payment;4.87;EUR;0.02;"2023-02-10 13:37:03";;20230213.150.20134253043109506;;0.00260
1676699~1;payment;payment;47.70;EUR;0.23;"2023-02-10 13:51:23";;20230213.150.20134253043109506;;0.00260
1676703~1;payment;payment;96.00;EUR;0.44;"2023-02-10 14:00:27";;20230213.150.20134253043109506;;0.00260
1676704~1;payment;payment;37.70;EUR;0.18;"2023-02-10 14:01:50";;20230213.150.20134253043109506;;0.00260
1676705~1;payment;payment;56.00;EUR;0.26;"2023-02-10 14:02:22";;20230213.150.20134253043109506;;0.00260
1676706~1;payment;payment;154.65;EUR;1.32;"2023-02-10 14:04:09";;20230213.150.20134253043109506;;0.04000
1676707~1;payment;payment;34.50;EUR;0.16;"2023-02-10 14:05:53";;20230213.150.20134253043109506;;0.00260
1676701~1;payment;payment;124.60;EUR;0.59;"2023-02-10 14:09:30";;20230213.150.20134253043109506;;0.00260
1676710~1;payment;payment;36.45;EUR;0.17;"2023-02-10 14:12:58";;20230213.150.20134253043109506;;0.00260
1676714~1;payment;payment;47.50;EUR;0.23;"2023-02-10 14:27:42";;20230213.150.20134253043109506;;0.00260
1676715~1;payment;payment;51.90;EUR;0.24;"2023-02-10 14:29:30";;20230213.150.20134253043109506;;0.00260
1676717~1;payment;payment;158.55;EUR;0.74;"2023-02-10 14:30:58";;20230213.150.20134253043109506;;0.00260
1676720~1;payment;payment;66.00;EUR;0.31;"2023-02-10 14:35:59";;20230213.150.20134253043109506;;0.00260
1676718~1;payment;payment;42.76;EUR;0.20;"2023-02-10 14:36:54";;20230213.150.20134253043109506;;0.00260
1676723~1;payment;payment;31.20;EUR;0.14;"2023-02-10 14:48:52";;20230213.150.20134253043109506;;0.00260
1676728~1;payment;payment;114.47;EUR;0.98;"2023-02-10 15:06:42";;20230213.150.20134253043109506;;0.04000
1676727~1;payment;payment;115.60;EUR;0.54;"2023-02-10 15:07:09";;20230213.150.20134253043109506;;0.00260
1676729~1;payment;payment;123.93;EUR;0.58;"2023-02-10 15:07:57";;20230213.150.20134253043109506;;0.00260
1676730~1;payment;payment;28.50;EUR;0.13;"2023-02-10 15:13:00";;20230213.150.20134253043109506;;0.00260
1676261~1;payment;payment;204.46;EUR;0.96;"2023-02-10 15:14:24";;20230213.150.20134253043109506;;0.00260
1676731~1;payment;payment;170.49;EUR;0.79;"2023-02-10 15:16:34";;20230213.150.20134253043109506;;0.00260
1676735~1;payment;payment;34.30;EUR;0.16;"2023-02-10 15:26:14";;20230213.150.20134253043109506;;0.00260
1676734~1;payment;payment;303.48;EUR;2.54;"2023-02-10 15:28:13";;20230213.150.20134253043109506;;0.02000
1676737~1;payment;payment;183.39;EUR;0.86;"2023-02-10 15:30:21";;20230213.150.20134253043109506;;0.00260
1676738~1;payment;payment;7.45;EUR;0.10;"2023-02-10 15:31:08";;20230213.150.20134253043109506;;0.02000
1676739~1;payment;payment;184.99;EUR;0.86;"2023-02-10 15:32:36";;20230213.150.20134253043109506;;0.00260
1676740~1;payment;payment;77.34;EUR;0.36;"2023-02-10 15:33:13";;20230213.150.20134253043109506;;0.00260
1676742~1;payment;payment;30.49;EUR;0.14;"2023-02-10 15:42:55";;20230213.150.20134253043109506;;0.00260
1676744~1;payment;payment;125.68;EUR;1.08;"2023-02-10 15:46:32";;20230213.150.20134253043109506;;0.02000
1676745~1;payment;payment;69.47;EUR;0.32;"2023-02-10 15:49:00";;20230213.150.20134253043109506;;0.00260
1676746~1;payment;payment;52.49;EUR;0.24;"2023-02-10 15:50:21";;20230213.150.20134253043109506;;0.00260
1676749~1;payment;payment;39.46;EUR;0.18;"2023-02-10 15:54:43";;20230213.150.20134253043109506;;0.00260
1676750~1;payment;payment;116.40;EUR;0.54;"2023-02-10 15:56:03";;20230213.150.20134253043109506;;0.00260
1662666~1;refund;refund;244.07;EUR;0.00;"2023-02-10 15:57:14";;20230213.150.20134253043109506;630188;0
1676754~1;payment;payment;79.49;EUR;0.37;"2023-02-10 15:59:55";;20230213.150.20134253043109506;;0.00260
1676760~1;payment;payment;41.44;EUR;0.19;"2023-02-10 16:05:12";;20230213.150.20134253043109506;;0.00260
1676758~1;payment;payment;54.07;EUR;0.25;"2023-02-10 16:05:14";;20230213.150.20134253043109506;;0.00260
1676759~1;payment;payment;99.91;EUR;0.47;"2023-02-10 16:06:21";;20230213.150.20134253043109506;;0.00260
1676762~1;payment;payment;32.49;EUR;0.16;"2023-02-10 16:07:31";;20230213.150.20134253043109506;;0.00260
1676764~1;payment;payment;114.61;EUR;0.54;"2023-02-10 16:11:34";;20230213.150.20134253043109506;;0.00260
1676719~1;payment;payment;23.88;EUR;0.11;"2023-02-10 16:19:29";;20230213.150.20134253043109506;;0.00260
1676769~1;payment;payment;18.10;EUR;0.08;"2023-02-10 16:19:40";;20230213.150.20134253043109506;;0.00260
1676767~1;payment;payment;52.50;EUR;0.24;"2023-02-10 16:20:05";;20230213.150.20134253043109506;;0.00260
1676768~1;payment;payment;44.45;EUR;0.20;"2023-02-10 16:21:30";;20230213.150.20134253043109506;;0.00260
1676771~1;payment;payment;74.68;EUR;0.35;"2023-02-10 16:24:17";;20230213.150.20134253043109506;;0.00260
1676770~1;payment;payment;51.39;EUR;0.24;"2023-02-10 16:27:23";;20230213.150.20134253043109506;;0.00260
1676772~1;payment;payment;75.90;EUR;0.36;"2023-02-10 16:28:01";;20230213.150.20134253043109506;;0.00260
1676775~1;payment;payment;36.18;EUR;0.17;"2023-02-10 16:30:13";;20230213.150.20134253043109506;;0.00260
1676774~1;payment;payment;53.40;EUR;0.00;"2023-02-10 16:31:26";;;;0.02000
1676774~1;payment;payment;53.40;EUR;0.48;"2023-02-10 16:34:17";;20230213.150.20134253043109506;;0.02000
1676778~1;payment;payment;6.00;EUR;0.02;"2023-02-10 16:36:39";;20230213.150.20134253043109506;;0.00260
1676779~1;payment;payment;42.85;EUR;0.20;"2023-02-10 16:42:14";;20230213.150.20134253043109506;;0.00260
1676781~1;payment;payment;122.69;EUR;0.58;"2023-02-10 16:42:19";;20230213.150.20134253043109506;;0.00260
1676783~1;payment;payment;67.49;EUR;0.31;"2023-02-10 16:51:15";;20230213.150.20134253043109506;;0.00260
1676784~1;payment;payment;230.47;EUR;1.08;"2023-02-10 16:57:11";;20230213.150.20134253043109506;;0.00260
1676789~1;payment;payment;117.05;EUR;0.55;"2023-02-10 16:58:16";;20230213.150.20134253043109506;;0.00260
1668512~1;payment;payment;72.50;EUR;0.34;"2023-02-10 17:10:21";;20230213.150.20134253043109506;;0.00260
1676796~1;payment;payment;240.02;EUR;1.13;"2023-02-10 17:14:03";;20230213.150.20134253043109506;;0.00260
1676799~1;payment;payment;118.13;EUR;0.55;"2023-02-10 17:15:56";;20230213.150.20134253043109506;;0.00260
1676800~1;payment;payment;38.57;EUR;0.00;"2023-02-10 17:18:38";;;;0.02000
1676804~1;payment;payment;65.59;EUR;0.31;"2023-02-10 17:22:45";;20230213.150.20134253043109506;;0.00260
1676805~1;payment;payment;29.49;EUR;0.14;"2023-02-10 17:31:26";;20230213.150.20134253043109506;;0.00260
1676811~1;payment;payment;115.44;EUR;0.54;"2023-02-10 17:39:25";;20230213.150.20134253043109506;;0.00260
1676814~1;payment;payment;36.70;EUR;0.17;"2023-02-10 17:43:29";;20230213.150.20134253043109506;;0.00260
1676815~1;payment;payment;53.00;EUR;0.25;"2023-02-10 17:44:10";;20230213.150.20134253043109506;;0.00260
1676816~1;payment;payment;62.97;EUR;0.30;"2023-02-10 17:47:30";;20230213.150.20134253043109506;;0.00260
1676817~1;payment;payment;45.61;EUR;0.22;"2023-02-10 17:49:52";;20230213.150.20134253043109506;;0.00260
1673188~1;payment;payment;13.53;EUR;0.06;"2023-02-10 17:52:12";;20230213.150.20134253043109506;;0.00260
1676821~1;payment;payment;160.78;EUR;0.76;"2023-02-10 17:58:18";;20230213.150.20134253043109506;;0.00260
1676822~1;payment;payment;264.93;EUR;1.24;"2023-02-10 17:58:56";;20230213.150.20134253043109506;;0.00260
1676824~1;payment;payment;25.49;EUR;0.12;"2023-02-10 18:00:18";;20230213.150.20134253043109506;;0.00260
1676825~1;payment;payment;91.50;EUR;0.43;"2023-02-10 18:02:21";;20230213.150.20134253043109506;;0.00260
1676826~1;payment;payment;40.99;EUR;0.19;"2023-02-10 18:04:16";;20230213.150.20134253043109506;;0.00260
1676828~1;payment;payment;93.48;EUR;0.43;"2023-02-10 18:08:11";;20230213.150.20134253043109506;;0.00260
1676829~1;payment;payment;124.29;EUR;0.58;"2023-02-10 18:10:11";;20230213.150.20134253043109506;;0.00260
1676830~1;payment;payment;42.52;EUR;0.20;"2023-02-10 18:11:58";;20230213.150.20134253043109506;;0.00260
1676832~1;payment;payment;71.29;EUR;0.34;"2023-02-10 18:12:43";;20230213.150.20134253043109506;;0.00260
1676834~1;payment;payment;37.59;EUR;0.18;"2023-02-10 18:22:02";;20230213.150.20134253043109506;;0.00260
1676837~1;payment;payment;15.50;EUR;0.07;"2023-02-10 18:24:26";;20230213.150.20134253043109506;;0.00260
1676839~1;payment;payment;111.99;EUR;0.53;"2023-02-10 18:28:58";;20230213.150.20134253043109506;;0.00260
1676841~1;payment;payment;48.38;EUR;0.23;"2023-02-10 18:30:12";;20230213.150.20134253043109506;;0.00260
1676842~1;payment;payment;33.70;EUR;0.16;"2023-02-10 18:31:03";;20230213.150.20134253043109506;;0.00260
1676845~1;payment;payment;15.50;EUR;0.07;"2023-02-10 18:37:49";;20230213.150.20134253043109506;;0.00260
1676849~1;payment;payment;23.50;EUR;0.11;"2023-02-10 18:48:27";;20230213.150.20134253043109506;;0.00260
1676852~1;payment;payment;59.00;EUR;0.28;"2023-02-10 18:52:04";;20230213.150.20134253043109506;;0.00260
1676850~1;payment;payment;22.09;EUR;0.11;"2023-02-10 18:55:41";;20230213.150.20134253043109506;;0.00260
1676855~1;payment;payment;56.45;EUR;0.26;"2023-02-10 18:57:52";;20230213.150.20134253043109506;;0.00260
1676856~1;payment;payment;42.30;EUR;0.00;"2023-02-10 18:58:55";;;;0.02000
1676856~1;payment;payment;42.30;EUR;0.00;"2023-02-10 19:01:35";;;;0.02000
1676860~1;payment;payment;141.76;EUR;0.66;"2023-02-10 19:03:28";;20230213.150.20134253043109506;;0.00260
1676862~1;payment;payment;37.20;EUR;0.35;"2023-02-10 19:08:00";;20230213.150.20134253043109506;;0.02000
1676869~1;payment;payment;70.50;EUR;0.32;"2023-02-10 19:17:59";;20230213.150.20134253043109506;;0.00260
1676870~1;payment;payment;20.49;EUR;0.10;"2023-02-10 19:19:54";;20230213.150.20134253043109506;;0.00260
1676871~1;payment;payment;132.88;EUR;0.62;"2023-02-10 19:20:15";;20230213.150.20134253043109506;;0.00260
1676872~1;payment;payment;108.95;EUR;0.50;"2023-02-10 19:28:09";;20230213.150.20134253043109506;;0.00260
1676880~1;payment;payment;20.29;EUR;0.10;"2023-02-10 19:44:08";;20230213.150.20134253043109506;;0.00260
1676877~1;payment;payment;25.39;EUR;0.00;"2023-02-10 19:48:54";;;;0.02000
1676881~1;payment;payment;71.14;EUR;0.34;"2023-02-10 19:49:15";;20230213.150.20134253043109506;;0.00260
1676877~1;payment;payment;25.39;EUR;0.00;"2023-02-10 19:51:17";;;;0.02000
1676887~1;payment;payment;59.49;EUR;0.53;"2023-02-10 19:58:04";;20230213.150.20134253043109506;;0.02000
1676888~1;payment;payment;68.81;EUR;0.32;"2023-02-10 20:00:34";;20230213.150.20134253043109506;;0.00260
1676891~1;payment;payment;56.77;EUR;0.26;"2023-02-10 20:08:27";;20230213.150.20134253043109506;;0.00260
1676893~1;payment;payment;153.16;EUR;0.72;"2023-02-10 20:13:08";;20230213.150.20134253043109506;;0.00260
1676894~1;payment;payment;45.30;EUR;0.22;"2023-02-10 20:19:59";;20230213.150.20134253043109506;;0.00260
1676896~1;payment;payment;82.93;EUR;0.38;"2023-02-10 20:22:02";;20230213.150.20134253043109506;;0.00260
1676898~1;payment;payment;28.50;EUR;0.13;"2023-02-10 20:30:13";;20230213.150.20134253043109506;;0.00260
1676903~1;payment;payment;68.20;EUR;0.32;"2023-02-10 20:41:15";;20230213.150.20134253043109506;;0.00260
1673988~1;payment;payment;65.99;EUR;0.59;"2023-02-10 20:47:43";;20230213.150.20134253043109506;;0.02000
1676877~1;payment;payment;25.39;EUR;0.25;"2023-02-10 20:52:39";;20230213.150.20134253043109506;;0.02000
1676912~1;payment;payment;29.99;EUR;0.29;"2023-02-10 20:53:51";;20230213.150.20134253043109506;;0.02000
1676915~1;payment;payment;24.49;EUR;0.24;"2023-02-10 20:56:11";;20230213.150.20134253043109506;;0.04000
1676913~1;payment;payment;98.70;EUR;0.46;"2023-02-10 20:57:21";;20230213.150.20134253043109506;;0.00260
1676918~1;payment;payment;15.50;EUR;0.07;"2023-02-10 20:58:10";;20230213.150.20134253043109506;;0.00260
1676916~1;payment;payment;14.48;EUR;0.07;"2023-02-10 21:00:56";;20230213.150.20134253043109506;;0.00260
1676920~1;payment;payment;6.15;EUR;0.02;"2023-02-10 21:02:57";;20230213.150.20134253043109506;;0.00260
1676924~1;payment;payment;49.87;EUR;0.23;"2023-02-10 21:09:35";;20230213.150.20134253043109506;;0.00260
1676927~1;payment;payment;34.16;EUR;0.16;"2023-02-10 21:31:37";;20230213.150.20134253043109506;;0.00260
1676929~1;payment;payment;65.50;EUR;0.31;"2023-02-10 21:33:16";;20230213.150.20134253043109506;;0.00260
1676930~1;payment;payment;57.87;EUR;0.28;"2023-02-10 21:34:47";;20230213.150.20134253043109506;;0.00260
1676864~1;payment;payment;74.45;EUR;0.35;"2023-02-10 21:35:04";;20230213.150.20134253043109506;;0.00260
1676933~1;payment;payment;24.90;EUR;0.12;"2023-02-10 21:41:53";;20230213.150.20134253043109506;;0.00260
1676935~1;payment;payment;46.52;EUR;0.22;"2023-02-10 21:44:57";;20230213.150.20134253043109506;;0.00260
1676934~1;payment;payment;45.74;EUR;0.22;"2023-02-10 21:45:21";;20230213.150.20134253043109506;;0.00260
1676937~1;payment;payment;48.58;EUR;0.44;"2023-02-10 22:00:21";;20230213.150.20134253043109506;;0.04000
1676938~1;payment;payment;226.54;EUR;1.06;"2023-02-10 22:03:35";;20230213.150.20134253043109506;;0.00260
1676942~1;payment;payment;26.20;EUR;0.12;"2023-02-10 22:11:39";;20230213.150.20134253043109506;;0.00260
1676941~1;payment;payment;23.93;EUR;0.11;"2023-02-10 22:13:00";;20230213.150.20134253043109506;;0.00260
1676943~1;payment;payment;129.67;EUR;0.61;"2023-02-10 22:21:03";;20230213.150.20134253043109506;;0.00260
1660872~1;refund;refund;3.90;EUR;0.00;"2023-02-10 22:30:09";;20230213.150.20134253043109506;628897;0
1660872~1;refund;refund;29.80;EUR;0.00;"2023-02-10 22:30:10";;20230213.150.20134253043109506;628896;0
1676948~1;payment;payment;52.50;EUR;0.24;"2023-02-10 22:30:17";;20230213.150.20134253043109506;;0.00260
1660219~1;refund;refund;56.99;EUR;0.00;"2023-02-10 22:30:20";;20230213.150.20134253043109506;629719;0
1660979~1;refund;refund;33.22;EUR;0.00;"2023-02-10 22:30:23";;20230213.150.20134253043109506;629827;0
1663460~1;refund;refund;210.40;EUR;0.00;"2023-02-10 22:30:25";;20230213.150.20134253043109506;629770;0
1665898~1;refund;refund;134.00;EUR;0.00;"2023-02-10 22:30:26";;20230213.150.20134253043109506;630185;0
1664526~1;refund;refund;54.03;EUR;0.00;"2023-02-10 22:30:30";;20230213.150.20134253043109506;630186;0
1669264~1;refund;refund;8.20;EUR;0.00;"2023-02-10 22:30:31";;20230213.150.20134253043109506;630209;0
1669264~1;refund;refund;61.99;EUR;0.00;"2023-02-10 22:30:32";;20230213.150.20134253043109506;630208;0
